OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2026-07-11T03:50:11.649984,13.76647879,.0023569,90.2216,72.3332,217.2633,240.8927,0,U,900,999,7472,.394E-3,.396E-5,0
CALSPHERE 2,1964-063E,2026-07-11T03:54:36.247392,13.52902241,.001937,90.2350,76.3689,152.1859,11.2314,0,U,902,999,85950,.16956E-4,.2E-6,0
LCS 1,1965-034C,2026-07-11T02:28:56.839296,9.89310750,.001238,32.1392,120.2334,207.8526,152.1309,0,U,1361,999,21225,-.17962E-2,-.5E-7,0
TEMPSAT 1,1965-065E,2026-07-10T09:32:32.060256,13.33595344,.00696116,89.9978,212.5950,181.8525,246.1651,0,U,1512,999,96314,.71388669E-4,.45E-6,0
CALSPHERE 4A,1965-065H,2026-07-11T04:42:03.261312,13.36282659,.0071567,89.8991,122.2519,37.0824,73.0978,0,U,1520,999,96591,.99515E-4,.61E-6,0
OPS 5712 (P/L 160),1967-053A,2026-07-11T03:27:04.129056,14.78042167,.0001858,69.9173,339.5614,304.1103,55.9868,0,U,2826,999,6977,.60403E-3,.4294E-4,0
LES-5,1967-066E,2026-07-11T00:12:50.256000,1.09426419,.0051463,2.6775,95.6575,214.4074,53.0757,0,U,2866,999,13129,0,-.112E-5,0
SURCAL 159,1967-053F,2026-07-10T07:31:30.753696,13.99607957,.00043018,69.9755,311.0285,82.3522,277.8074,0,U,2872,999,1344,.47121356E-4,.15E-6,0
OPS 5712 (P/L 153),1967-053H,2026-07-11T00:58:45.590016,13.96831728,.0007119,69.9737,64.1791,185.5276,174.5752,0,U,2874,999,1012,.27544E-4,-.15E-6,0
RIGIDSPHERE 2 (LCS 4),1971-067E,2026-07-11T03:09:15.317856,14.37898709,.0061082,87.6233,332.1590,151.5657,208.8898,0,U,5398,999,87732,.14284E-3,.459E-5,0
OSCAR 7 (AO-7),1974-089B,2026-07-10T06:51:38.058624,12.53698448,.00126625,101.9903,204.7731,87.4352,340.9074,0,U,7530,999,36341,.81096817E-4,-.33E-6,0
STARLETTE,1975-010A,2026-07-11T03:57:16.812288,13.82350621,.0205678,49.8249,9.9478,142.2812,219.2703,0,U,7646,999,59785,-.23272E-5,-.147E-5,0
LAGEOS 1,1976-039A,2026-07-10T21:46:21.203040,6.38664668,.0044666,109.8040,187.4515,297.1768,132.8452,0,U,8820,999,91465,0,.2E-6,0
PHASE 3B (AO-10),1983-058B,2026-07-09T16:55:32.549376,2.05870648,.60033527,25.9319,215.8523,121.8543,310.3469,0,U,14129,999,29595,0,.106E-5,0
